"Time [ms]","ElecPower []","MechPower []"
271,8371.95420188834,9790.49398191138
272,8100.67720658875,6612.88591923094
273,8071.0738395853,9144.73702256497
274,8448.43466992341,5091.01223119865
275,7371.394032207,6589.14011833535
276,8719.36959244875,6742.01610893884
277,6964.55258960478,5814.72985261257
278,8145.76522463953,9253.58657818322
279,8147.74554475992,8433.56229845727
280,7455.39509687126,7683.20215867604
281,8988.47238388815,10246.2741755967
282,7544.76033113239,5175.19138586913
283,8687.78915608313,8354.68001990685
284,7653.27833099892,5400.08401940659
285,7781.07410252476,7280.53752103387
286,8233.82197581458,8655.42261111777
287,7072.97679743622,7372.29665868686
288,8623.63336609065,9789.30300984238
289,7779.28209893213,7291.60227885642
290,8316.64988598913,8747.42519866
291,8169.08726731916,5641.60380695248
292,7711.46454369958,7376.59221535606
293,8365.64518315263,5918.6400627314
294,6933.28705875884,6272.47874091936
295,8395.78550823696,9238.86787498554
296,7586.51616282665,6735.22087071348
297,7624.2959178395,8730.55239359711
298,8840.17164578823,8537.02830830041
299,7391.47232828787,6008.27538319265
300,8852.33648068019,9093.10694573542
301,7246.95149227822,4500.83359628632
302,8124.43547868157,7925.54794990788
303,7778.68252124457,7056.61701289439
304,7039.80217977212,7062.69726597911
305,8727.99589616789,10002.3152788385
306,7411.25893043766,7707.47233207419
307,8417.07324487854,8624.8118601657
308,7939.75326914955,6555.11213024888
309,7968.66985643216,7153.32143244331
310,8008.42158999537,5768.08027036173
311,7092.5305439077,6506.35091857954
312,8422.73466271504,8864.54045815624
313,7220.27066962918,6801.48037388886
314,7851.41758198423,9880.93446575554
315,8478.49032718006,6295.48943488391
316,7514.05799998123,7288.91006012321
317,8889.6461986517,7389.56513672049
318,7081.21844046288,4960.95327730893
319,8575.15823062272,8733.56879418706
320,7333.06600106926,6117.39748049149
321,7371.56106455202,7896.70800744969
322,8622.97501256478,9635.68269047776
323,7270.05462779048,6887.16844251438
324,8698.07597074455,9248.64234167851
325,7855.80659550077,7070.34463787671
326,8280.82086049433,7426.423204123
327,7911.96272097589,6392.97368612745
328,7438.02812987657,6532.58330505285
329,8408.58857065779,8288.13557560077
330,7138.37771863724,6973.52403103004
331,8235.8145581548,10255.6941382142
332,8180.52102739974,6438.25083331826
333,7923.74097404975,8957.30923163997
334,8700.37857926128,5319.65575689084
335,7273.61598800248,5897.43467088884
336,8856.32068985347,7491.30693679506
337,7034.08771588269,5674.18996973069
338,7988.14926857949,9170.65497002201
339,8259.84099744395,9156.80963074225
340,7314.03232512645,7130.36190357055
341,8935.52294340512,9970.30352967793
342,7685.81245135222,5787.03162829717
343,8571.18407643887,8111.04375885024
344,7821.41325316,6429.0330159892
345,7718.0200217507,6873.2560293822
346,8237.51610557521,8359.97702400816
347,7075.00246502007,7064.22632297348
348,8502.84507630326,9715.80846407904
349,7849.07532677017,6909.58518431573
350,8170.87927175063,9407.97037116184
351,8361.6790256149,5330.94529983558
352,7561.45136156775,7296.54171709311
353,8611.41942350527,5849.24293230065
354,6891.85524750487,5627.07754802043
355,8376.74317447293,8989.79746417947
356,7671.34326487053,7440.87036748239
357,7469.70437879397,8277.12492398611
358,8898.09065327279,10151.7877532379
359,7425.39671895209,5602.31177583184
360,8738.7078159359,8814.49657580077
361,7514.82403557943,4930.47355124561
362,7995.92420110512,7455.98094285846
