"Time [ms]","InducedVoltage(PhaseA) [V]","InducedVoltage(PhaseB) [V]","InducedVoltage(PhaseC) [V]"
443,371.376050828796,-493.630374393686,141.782065266043
444,466.702062533434,-406.152407806859,-8.42004373532101
445,500.906333738346,-328.047108585519,-186.656841505188
446,482.865323296625,-208.189774935876,-339.712957731665
447,445.829506293091,-36.118240813763,-437.68907067354
448,380.9571876884,141.896684282193,-484.940719099084
449,238.360441544625,285.133504866812,-494.754403121132
450,77.6137365758725,403.770556176945,-483.976602976749
451,-68.7601068541348,477.284797531986,-390.454207300412
452,-234.096880743043,509.587851900538,-268.89820578535
453,-374.530384382737,482.80879371556,-157.778395915882
454,-466.344776435705,402.587470291013,13.1548164309003
455,-497.396975917418,346.652766413327,193.705000843153
456,-478.796296830101,202.136596156748,335.713677787802
457,-462.856939080196,24.1563971040846,432.6585746727
458,-371.319248903044,-136.125375557557,485.075558569823
459,-226.556226767727,-279.47725311705,504.857514450704
460,-89.8075159734288,-406.469171688975,477.988267433469
461,65.4692783409707,-483.060182823579,375.965028176184
462,239.680490756482,-505.24614189641,290.44687733467
463,379.246638817783,-469.162024345501,157.398212544015
464,459.862348543621,-426.889704905698,-22.6882175933178
465,490.539634830851,-342.54005535832,-195.812109791825
466,493.090060576804,-188.267830892302,-328.867370040447
467,463.261802335836,-26.5496631161664,-432.438791564501
468,354.452886661491,126.104579260748,-490.209947721415
469,230.10220953835,283.694148303455,-509.603158253795
470,103.457828430577,409.833948510786,-462.896953052855
471,-72.003435536417,483.643774388924,-378.179803602723
472,-245.445290906233,499.319675820831,-307.060539448255
473,-375.14601544921,466.540473380039,-148.764526667161
474,-456.724185332113,444.164628733098,32.4813500838519
475,-489.856900587279,331.470705307913,187.730843394096
476,-504.313867211817,178.10885712256,326.182130979903
477,-454.513863725025,37.9582255515087,436.046791910598
478,-342.797350679286,-122.927151710496,494.583669952663
479,-248.297923519403,-289.705098064721,505.201439969445
480,-104.008917052024,-414.093612857128,450.18442179153
481,80.9646645432744,-477.052599431682,403.08713892484
482,247.421797244905,-491.438853198641,301.170349714617
483,368.559396169106,-486.278502806782,136.806741473923
484,456.271166213624,-437.996993379743,-27.6550217095346
485,498.664334206382,-314.93449502766,-181.123445269219
486,504.182771099291,-187.38475595083,-329.585899125934
487,437.482790319529,-47.7342413266895,-441.21330639185
488,353.560031107181,129.8698920923,-495.025592812696
489,260.25514875054,294.211641569971,-495.498494442484
490,94.1060656365025,410.63193201908,-453.519752257814
491,-87.837232191877,474.832419976056,-417.364350551355
492,-238.561093693922,490.702652366132,-288.291799289319
493,-368.447353553161,498.463548258362,-127.455827522058
494,-459.406254786517,425.944040737238,14.9686594088261
495,-503.383917505613,306.346079517474,179.428601371176
496,-498.509874835913,203.822358648319,335.070389640792
497,-427.609107058387,47.357072733514,443.464249246948
498,-374.722646850563,-137.917816439916,489.902527881157
499,-255.876387690491,-294.805410373593,487.637415400011
500,-82.7169017017217,-403.31985613343,474.482603212096
501,83.8931151267195,-474.21083042049,408.5676915621
502,232.036356820899,-502.703277911001,272.895629850273
503,370.406055341148,-494.264525634703,139.553609684327
504,466.110330414711,-408.501237618699,-9.03129606912301
505,501.760491155827,-323.990745921447,-185.301040735805
506,485.234557532785,-208.607584215013,-339.134198510278
507,440.623838514372,-38.140241541748,-439.16445977953
508,382.984761159069,142.062071611475,-486.117036007102
509,241.331165175738,286.317829086338,-491.051372328876
510,75.3374768685648,403.805551844405,-485.218078523072
511,-69.6955098881489,475.900845964623,-393.668186588682
512,-233.247632999388,509.462992654172,-266.912823085311
513,-373.967017676161,485.409322878954,-155.739293876311
514,-466.487615923956,402.08648601542,11.4689849368477
515,-498.288378855614,342.885346092959,192.695382957451
516,-479.1885286309,204.831035980754,337.303550140246
517,-459.371132630189,26.1776976225025,432.564286750271
518,-374.183225801374,-138.730210262492,484.944029468507
519,-228.191760028864,-279.513181299896,503.391837102855
520,-87.5810960628365,-405.646933059795,479.52739334028
521,66.0389444664982,-483.247105054368,377.366676912295
522,238.16517673563,-505.48270035651,287.635841520018
523,378.99429813168,-470.92345505079,157.217260684394
524,461.38673189102,-422.807402357701,-20.6636353313159
525,491.456023610746,-344.02900994879,-195.779189485802
526,489.554906291401,-190.827982513337,-330.196327089138
527,464.946127665833,-24.3185877128809,-432.564891928131
528,357.845910737155,126.723150344721,-487.954864798832
529,225.96361947098,283.061955603923,-510.584554491761
530,103.148858374416,408.570481637801,-465.954028050363
531,-70.4891777041261,484.215197125255,-374.744041223041
532,-244.571115095566,500.882908902474,-305.868620096105
533,-376.214538139352,465.908115348578,-151.121525284679
534,-456.763527957683,441.312766312185,31.0350955239151
535,-490.086999083156,334.559507708149,190.59251701629
536,-501.78759591077,179.704087633356,325.284140868723
537,-457.307464436426,34.6708271970579,435.521802860742
538,-343.868799320141,-122.528050732588,494.236829641374
539,-245.359050484222,-288.397531089584,506.017885406373
540,-104.133436434349,-414.245421920956,451.345473604565
541,79.101820630777,-478.099196115076,399.989991842564
542,247.604510055186,-491.977165317588,302.036576131552
543,370.019283768194,-483.42475494858,138.908681293856
544,455.779134122809,-439.419557738765,-28.9901963547214
